ibraRegion,epbcStatus,totalRecords,protectedRecords,speciesCount,protectionRate
Tiwi Cobourg,Vulnerable,3103,2262,12,72.9
Victoria Bonaparte,Critically Endangered,2,2,1,100.0
Victoria Bonaparte,Endangered,359,82,7,22.84
Victoria Bonaparte,Vulnerable,91,36,9,39.56
Victorian Midlands,Critically Endangered,2916,790,13,27.09
Victorian Midlands,Endangered,4829,1581,44,32.74
Victorian Midlands,Vulnerable,10005,2927,55,29.26
Warren,Critically Endangered,158,101,9,63.92
Warren,Endangered,253,153,26,60.47
Warren,Vulnerable,283,229,19,80.92
Wet Tropics,Critically Endangered,587,502,16,85.52
Wet Tropics,Endangered,838,524,42,62.53
Wet Tropics,Vulnerable,2897,1344,74,46.39
Yalgoo,Critically Endangered,75,68,5,90.67
Yalgoo,Endangered,73,51,5,69.86
Yalgoo,Vulnerable,77,49,6,63.64
