imcraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Bonaparte Gulf,1971,1975,Native,62,44
Bonaparte Gulf,1976,1980,Native,2220,270
Bonaparte Gulf,1981,1985,Native,181,74
Bonaparte Gulf,1986,1990,Native,393,162
Bonaparte Gulf,1991,1995,Native,421,327
Bonaparte Gulf,1996,2000,Native,214,150
Bonaparte Gulf,2001,2005,Native,380,147
Bonaparte Gulf,2006,2010,Native,745,256
Bonaparte Gulf,2011,2015,Native,449,120
Bonaparte Gulf,2016,2020,Native,80,46
Bruny,1900,1970,Introduced,160,84
Bruny,1900,1970,Invasive,3,2
Bruny,1900,1970,Native,9842,2262
Bruny,1971,1975,Introduced,11,9
Bruny,1971,1975,Native,1847,828
Bruny,1976,1980,Introduced,23,20
Bruny,1976,1980,Native,6318,925
Bruny,1981,1985,Introduced,31,24
Bruny,1981,1985,Invasive,5,2
Bruny,1981,1985,Native,2768,933
Bruny,1986,1990,Introduced,57,19
Bruny,1986,1990,Invasive,4,2
Bruny,1986,1990,Native,1871,638
Bruny,1991,1995,Introduced,29,10
Bruny,1991,1995,Native,78799,967
Bruny,1996,2000,Introduced,420,11
Bruny,1996,2000,Invasive,6,1
Bruny,1996,2000,Native,10247,659
Bruny,2001,2005,Introduced,27,20
Bruny,2001,2005,Invasive,2,2
Bruny,2001,2005,Native,20917,778
Bruny,2006,2010,Introduced,42,28
Bruny,2006,2010,Invasive,3,2
Bruny,2006,2010,Native,26451,1314
Bruny,2011,2015,Introduced,58,19
Bruny,2011,2015,Native,26002,1346
Bruny,2016,2020,Introduced,54,38
Bruny,2016,2020,Invasive,34,4
Bruny,2016,2020,Native,42243,1081
Cambridge-Bonaparte,1900,1970,Native,190,117
Cambridge-Bonaparte,1971,1975,Native,43,29
Cambridge-Bonaparte,1976,1980,Native,157,92
Cambridge-Bonaparte,1981,1985,Native,40,32
Cambridge-Bonaparte,1986,1990,Native,214,44
Cambridge-Bonaparte,1991,1995,Native,229,80
Cambridge-Bonaparte,1996,2000,Invasive,2,1
Cambridge-Bonaparte,1996,2000,Native,461,137
Cambridge-Bonaparte,2001,2005,Native,191,94
Cambridge-Bonaparte,2006,2010,Introduced,9,9
Cambridge-Bonaparte,2006,2010,Native,131,76
Cambridge-Bonaparte,2011,2015,Introduced,1,1
Cambridge-Bonaparte,2011,2015,Invasive,10,1
Cambridge-Bonaparte,2011,2015,Native,144,84
Cambridge-Bonaparte,2016,2020,Native,148,44
Canning,1900,1970,Native,1348,669
Canning,1971,1975,Native,360,258
Canning,1976,1980,Introduced,1,1
Canning,1976,1980,Native,820,444
Canning,1981,1985,Introduced,1,1
Canning,1981,1985,Native,563,341
Canning,1986,1990,Introduced,3,2
Canning,1986,1990,Native,768,402
Canning,1991,1995,Introduced,3,3
Canning,1991,1995,Invasive,2,1
Canning,1991,1995,Native,859,301
Canning,1996,2000,Introduced,4,2
Canning,1996,2000,Native,5802,370
Canning,2001,2005,Native,5052,390
Canning,2006,2010,Native,9326,369
Canning,2011,2015,Native,21680,239
Canning,2016,2020,Introduced,1,1
Canning,2016,2020,Native,64013,287
Carpentaria,1900,1970,Native,4297,343
Carpentaria,1971,1975,Native,1696,188
Carpentaria,1976,1980,Native,4976,298
Carpentaria,1981,1985,Native,2446,256
Carpentaria,1986,1990,Native,12694,769
Carpentaria,1991,1995,Native,10710,686
Carpentaria,1996,2000,Native,12780,416
Carpentaria,2001,2005,Native,5128,292
Carpentaria,2006,2010,Native,368,17
Carpentaria,2011,2015,Native,201,68
Carpentaria,2016,2020,Native,86,41
Central Bass Strait,1900,1970,Introduced,2,2
Central Bass Strait,1900,1970,Native,2206,423
Central Bass Strait,1971,1975,Native,671,343
Central Bass Strait,1976,1980,Native,1766,618
Central Bass Strait,1981,1985,Introduced,1,1
Central Bass Strait,1981,1985,Invasive,1,1
Central Bass Strait,1981,1985,Native,2280,561
Central Bass Strait,1986,1990,Native,244,127
Central Bass Strait,1991,1995,Native,72,24
Central Bass Strait,1996,2000,Native,390,188
Central Bass Strait,2001,2005,Native,466,102
Central Bass Strait,2006,2010,Introduced,6,1
Central Bass Strait,2006,2010,Native,166,62
Central Bass Strait,2011,2015,Introduced,1,1
Central Bass Strait,2011,2015,Native,1289,211
Central Bass Strait,2016,2020,Invasive,2,1
Central Bass Strait,2016,2020,Native,410,81
Central Reef,1900,1970,Introduced,8,7
Central Reef,1900,1970,Native,4903,1722
Central Reef,1971,1975,Introduced,8,7
Central Reef,1971,1975,Native,3848,1367
Central Reef,1976,1980,Native,2126,872
Central Reef,1981,1985,Introduced,1,1
Central Reef,1981,1985,Native,2405,1022
Central Reef,1986,1990,Introduced,1,1
Central Reef,1986,1990,Native,2754,589
Central Reef,1991,1995,Native,9939,534
Central Reef,1996,2000,Introduced,1,1
Central Reef,1996,2000,Native,17319,444
Central Reef,2001,2005,Introduced,3,2
Central Reef,2001,2005,Invasive,5,2
Central Reef,2001,2005,Native,31938,1262
Central Reef,2006,2010,Native,27612,593
Central Reef,2011,2015,Native,101921,690
Central Reef,2016,2020,Native,18491,703
Central Victoria,1900,1970,Introduced,61,28
Central Victoria,1900,1970,Invasive,2,2
Central Victoria,1900,1970,Native,18498,1454
Central Victoria,1971,1975,Introduced,5,4
Central Victoria,1971,1975,Invasive,10,2
Central Victoria,1971,1975,Native,5792,775
Central Victoria,1976,1980,Introduced,70,39
Central Victoria,1976,1980,Invasive,4,1
